a	 a_0
phoách	f w a_4 k_+ 
phoái	f w a_4 i
phoám	f w a_4 m
phoán	f w a_4 n
phoáng	f w a_4 N
phoánh	f w a_4 N_+ 
phoáo	f w a_4 O
phoáp	f w a_4 p
phoát	f w a_4 t
phoáy	f w a_X_4 i 
phoã	f w a_3
phoãi	f w a_3 i
phoãm	f w a_3 m
phoãn	f w a_3 n
phoãng	f w a_3 N
phoãnh	f w a_3 N_+ 
phoão	f w a_3 O
phoãy	f w a_X_3 i 
phoè	f w E_1
phoèm	f w E_1 m
phoèn	f w E_1 n
phoèo	f w E_1 O
phoé	f w E_4
phoém	f w E_4 m
phoén	f w E_4 n
phoéo	f w E_4 O
phoét	f w E_4 t
phoòng	f O O_1 N
phoóc	f O O_4 k
phoóng	f O O_4 N
phoõng	f O O_3 N
phoạ	f w a_5
phoả	f w a_2
phoẹ	f w E_5
phoẻ	f w E_2
phoẽ	f w E_3
phoạc	f w a_5 k
phoắc	f w a_X_4 k
phoặc	f w a_X_5 k
phoọc	f O O_5 k
phoạch	f w a_5 k_+ 
phoại	f w a_5 i
phoải	f w a_2 i
phoăm	f w a_X_0 m
phoạm	f w a_5 m
phoảm	f w a_2 m
phoắm	f w a_X_4 m
phoằm	f w a_X_1 m
phoẳm	f w a_X_2 m
phoẵm	f w a_X_3 m
phoặm	f w a_X_5 m
phoẹm	f w E_5 m
phoẻm	f w E_2 m
phoẽm	f w E_3 m
phoăn	f w a_X_0 n
phoạn	f w a_5 n
phoản	f w a_2 n
phoắn	f w a_X_4 n
phoằn	f w a_X_1 n
phoẳn	f w a_X_2 n
phoẵn	f w a_X_3 n
phoặn	f w a_X_5 n
phoẹn	f w E_5 n
phoẻn	f w E_2 n
phoẽn	f w E_3 n
phoăng	f w a_X_0 N
phoạng	f w a_5 N
phoảng	f w a_2 N
phoắng	f w a_X_4 N
phoằng	f w a_X_1 N
phoẳng	f w a_X_2 N
phoẵng	f w a_X_3 N
phoặng	f w a_X_5 N
phoọng	f O O_5 N
phoỏng	f O O_2 N
phoạnh	f w a_5 N_+ 
phoảnh	f w a_2 N_+ 
phoạo	f w a_5 O
phoảo	f w a_2 O
phoẹo	f w E_5 O
phoẻo	f w E_2 O
phoẽo	f w E_3 O
phoạp	f w a_5 p
phoạt	f w a_5 t
phoắt	f w a_X_4 t
phoặt	f w a_X_5 t
phoẹt	f w E_5 t
phoạy	f w a_X_5 i 
phoảy	f w a_X_2 i 
phu	f u_0
phua	f u@_0
phui	f u_0 i
phum	f u_0 m
phun	f u_0 n
phung	f u_0 Nm 
phuy	f u_0 i
phuya	f u_0 i@
phuyn	f u i_0 n
phuynh	f u i_0 J
phuyu	f u i_0 u_0
phuyên	f u i@_0 n
phuyến	f u i@_4 n
phuyền	f u i@_1 n
phuyển	f u i@_2 n
phuyễn	f u i@_3 n
phuyện	f u i@_5 n
phuyết	f u i@_4 t
phuyệt	f u i@_5 t
phuân	f u 7_X_0 n
phuâng	f u 7_X_0 N
phuây	f u 7_X_0 i_0
phuê	f u_0 e
phuênh	f u e_0 J
phuôi	f u@_0 i
phuôm	f u@_0 m
phuôn	f u@_0 n
phuông	f u@_0 N
phuý	f u i_4
phuýa	f u i@_4
phuých	f u i_4 k
phuýn	f u i_4 n
phuýnh	f u i_4 J
phuýp	f u i_4 p
phuýt	f u i_4 t
phuýu	f u i_4 u
phuơ	f u_0 7
phuế	f u e_4
phuề	f u e_1
phuể	f u e_2
phuễ	f u e_3
phuệ	f u e_5
phuớ	f u 7_4
phuờ	f u 7_1
phuở	f u 7_2
phuỡ	f u 7_3
phuợ	f u 7_5
phuỳ	f u i_1
phuỵ	f u i_5
phuỷ	f u i_2
phuỹ	f u i_3
phuỳa	f u i@_1
phuỵa	f u i@_5
phuỷa	f u i@_2
phuỹa	f u i@_3
phuốc	f u@_4 k
phuộc	f u@_5 k
phuếch	f u e_4 k
phuệch	f u e_5 k
phuỵch	f u i_5 k
phuối	f u@_4 i
phuồi	f u@_1 i
phuổi	f u@_2 i
phuỗi	f u@_3 i
phuội	f u@_5 i
phuốm	f u@_4 m
phuồm	f u@_1 m
phuổm	f u@_2 m
phuỗm	f u@_3 m
phuộm	f u@_5 m
phuấn	f u 7_X_4 n
phuần	f u 7_X_1 n
phuẩn	f u 7_X_2 n
phuẫn	f u 7_X_3 n
phuận	f u 7_X_5 n
phuốn	f u@_4 n
phuồn	f u@_1 n
phuổn	f u@_2 n
phuỗn	f u@_3 n
phuộn	f u@_5 n
phuỳn	f u i_1 n
phuỵn	f u i_5 n
phuỷn	f u i_2 n
phuỹn	f u i_3 n
phuấng	f u 7_X_4 N
phuầng	f u 7_X_1 N
phuẩng	f u 7_X_2 N
phuẫng	f u 7_X_3 N
phuậng	f u 7_X_5 N
phuống	f u@_4 N
phuồng	f u@_1 N
phuổng	f u@_2 N
phuỗng	f u@_3 N
phuộng	f u@_5 N
phuếnh	f u e_4 J
phuềnh	f u e_1 J
phuểnh	f u e_2 J
phuễnh	f u e_3 J
phuệnh	f u e_5 J
phuỳnh	f u i_1 J
phuỵnh	f u i_5 J
phuỷnh	f u i_2 J
phuỹnh	f u i_3 J
phuốp	f u@_4 p
phuộp	f u@_5 p
phuỵp	f u i_5 p
phuất	f u 7_X_4 t
phuật	f u 7_X_5 t
phuốt	f u@_4 t
phuột	f u@_5 t
phuỵt	f u i_5 t
phuỳu	f u i_1 u
phuỵu	f u i_5 u
phuỷu	f u i_2 u
phuỹu	f u i_3 u
phuấy	f u 7_X_4 i
phuầy	f u 7_X_1 i
phuẩy	f u 7_X_2 i
phuẫy	f u 7_X_3 i
phuậy	f u 7_X_5 i
phy	f i_0
phà	f a_1
phài	f a_1 i
phàm	f a_1 m
phàn	f a_1 n
phàng	f a_1 N
phành	f a_1 N_+ 
phào	f a_1 O
phàu	f a_X_1 u 
phày	f a_X_1 i 
phá	f a_4
phác	f a_4 k
phách	f a_4 k_+ 
phái	f a_4 i
phám	f a_4 m
phán	f a_4 n
pháng	f a_4 N
phánh	f a_4 N_+ 
pháo	f a_4 O
pháp	f a_4 p
phát	f a_4 t
pháu	f a_X_4 u 
pháy	f a_X_4 i 
phâm	f 7_X_0 m
phân	f 7_X_0 n
phâng	f 7_X_0 N
phâu	f 7_X_0 u
phây	f 7_X_0 i
phã	f a_3
phãi	f a_3 i
phãm	f a_3 m
phãn	f a_3 n
phãng	f a_3 N
phãnh	f a_3 N_+ 
phão	f a_3 O
phãu	f a_X_3 u 
phãy	f a_X_3 i 
phè	f E_1
phèm	f E_1 m
phèn	f E_1 n
phèng	f E_1 N
phèo	f E_1 O
phé	f E_4
phéc	f E_4 k
phém	f E_4 m
phén	f E_4 n
phéng	f E_4 N
phéo	f E_4 O
phép	f E_4 p
phét	f E_4 t
phê	f e_0
phêm	f e_0 m
phên	f e_0 n
phênh	f e_0 N_+ 
phêu	f e_0 u
phì	f i_1
phìa	f i@_1
phìm	f i_1 m
phìn	f i_1 n
phình	f i_1 N_+ 
phìu	f i_1 u
phí	f i_4
phía	f i@_4
phích	f i_4 k_+ 
phím	f i_4 m
phín	f i_4 n
phính	f i_4 N_+ 
phíp	f i_4 p
phít	f i_4 t
phíu	f i_4 u
phò	f O_1
phòi	f O_1 i
phòm	f O_1 m
phòn	f O_1 n
phòng	f O_1 Nm 
phó	f O_4
phóc	f kp_4 kp 
phói	f O_4 i
phóm	f O_4 m
phón	f O_4 n
phóng	f O_X_4 Nm 
phóp	f O_4 p
phót	f O_4 t
phô	f o_0
phôi	f o_0 i
phôm	f o_0 m
phôn	f o_0 n
phông	f o_0 Nm 
phõ	f O_3
phõi	f O_3 i
phõm	f O_3 m
phõn	f O_3 n
phõng	f O_3 Nm 
phù	f u_1
phùa	f u@_1
phùi	f u_1 i
phùm	f u_1 m
phùn	f u_1 n
phùng	f u_1 Nm 
phú	f u_4
phúa	f u@_4
phúc	f u_4 kp 
phúi	f u_4 i
phúm	f u_4 m
phún	f u_4 n
phúng	f u_4 Nm 
phúp	f u_4 p
phút	f u_4 t
phý	f i_4
phĩ	f i_3
phũ	f u_3
phơ	f 7_0
phư	f M_0
phạ	f a_5
phả	f a_2
phẹ	f E_5
phẻ	f E_2
phẽ	f E_3
phế	f e_4
phề	f e_1
phể	f e_2
phễ	f e_3
phệ	f e_5
phỉ	f i_2
phị	f i_5
phọ	f O_5
phỏ	f O_2
phố	f o_4
phồ	f o_1
phổ	f o_2
phỗ	f o_3
phộ	f o_5
phớ	f 7_4
phờ	f 7_1
phở	f 7_2
phỡ	f 7_3
phợ	f 7_5
phụ	f u_5
phủ	f u_2
phứ	f M_4
phừ	f M_1
phử	f M_2
phữ	f M_3
phự	f M_5
phỳ	f i_1
phỵ	f i_5
phỷ	f i_2
phỹ	f i_3
phĩa	f i@_3
phũa	f u@_3
phưa	f M@_0
phỉa	f i@_2
phịa	f i@_5
phụa	f u@_5
phủa	f u@_2
phứa	f M@_4
phừa	f M@_1
phửa	f M@_2
phữa	f M@_3
phựa	f M@_5
phạc	f a_5 k
phấc	f 7_X_4 k
phậc	f 7_X_5 k
phắc	f a_X_4 k
phặc	f a_X_5 k
phẹc	f E_5 k
phọc	f kp_5 kp 
phốc	f o_4 kp 
phộc	f o_5 kp 
phục	f u_5 kp 
phức	f M_4 k
phực	f M_5 k
phạch	f a_5 k_+ 
phếch	f e_4 k_+ 
phệch	f e_5 k_+ 
phịch	f i_5 k_+ 
phũi	f u_3 i
phơi	f 7_0 i
phưi	f M_0 i
phại	f a_5 i
phải	f a_2 i
phọi	f O_5 i
phỏi	f O_2 i
phối	f o_4 i
phồi	f o_1 i
phổi	f o_2 i
phỗi	f o_3 i
phội	f o_5 i
phới	f 7_4 i
phời	f 7_1 i
phởi	f 7_2 i
phỡi	f 7_3 i
phợi	f 7_5 i
phụi	f u_5 i
phủi	f u_2 i
phứi	f M_4 i
phừi	f M_1 i
phửi	f M_2 i
phữi	f M_3 i
phựi	f M_5 i
phăm	f a_X_0 m
phĩm	f i_3 m
phũm	f u_3 m
phơm	f 7_0 m
phưm	f M_0 m
phạm	f a_5 m
phảm	f a_2 m
phấm	f 7_X_4 m
phầm	f 7_X_1 m
phẩm	f 7_X_2 m
phẫm	f 7_X_3 m
phậm	f 7_X_5 m
phắm	f a_X_4 m
phằm	f a_X_1 m
phẳm	f a_X_2 m
phẵm	f a_X_3 m
phặm	f a_X_5 m
phẹm	f E_5 m
phẻm	f E_2 m
phẽm	f E_3 m
phếm	f e_4 m
phềm	f e_1 m
phểm	f e_2 m
phễm	f e_3 m
phệm	f e_5 m
phỉm	f i_2 m
phịm	f i_5 m
phọm	f O_5 m
phỏm	f O_2 m
phốm	f o_4 m
phồm	f o_1 m
phổm	f o_2 m
phỗm	f o_3 m
phộm	f o_5 m
phớm	f 7_4 m
phờm	f 7_1 m
phởm	f 7_2 m
phỡm	f 7_3 m
phợm	f 7_5 m
phụm	f u_5 m
phủm	f u_2 m
phứm	f M_4 m
phừm	f M_1 m
phửm	f M_2 m
phữm	f M_3 m
phựm	f M_5 m
phăn	f a_X_0 n
phĩn	f i_3 n
phũn	f u_3 n
phơn	f 7_0 n
phưn	f M_0 n
phạn	f a_5 n
phản	f a_2 n
phấn	f 7_X_4 n
phần	f 7_X_1 n
phẩn	f 7_X_2 n
phẫn	f 7_X_3 n
phận	f 7_X_5 n
phắn	f a_X_4 n
phằn	f a_X_1 n
phẳn	f a_X_2 n
phẵn	f a_X_3 n
phặn	f a_X_5 n
phẹn	f E_5 n
phẻn	f E_2 n
phẽn	f E_3 n
phến	f e_4 n
phền	f e_1 n
phển	f e_2 n
phễn	f e_3 n
phện	f e_5 n
phỉn	f i_2 n
phịn	f i_5 n
phọn	f O_5 n
phỏn	f O_2 n
phốn	f o_4 n
phồn	f o_1 n
phổn	f o_2 n
phỗn	f o_3 n
phộn	f o_5 n
phớn	f 7_4 n
phờn	f 7_1 n
phởn	f 7_2 n
phỡn	f 7_3 n
phợn	f 7_5 n
phụn	f u_5 n
phủn	f u_2 n
phứn	f M_4 n
phừn	f M_1 n
phửn	f M_2 n
phữn	f M_3 n
phựn	f M_5 n
phăng	f a_X_0 N
phũng	f u_3 Nm 
phưng	f M_0 N
phạng	f a_5 N
phảng	f a_2 N
phấng	f 7_X_4 N
phầng	f 7_X_1 N
phẩng	f 7_X_2 N
phẫng	f 7_X_3 N
phậng	f 7_X_5 N
phắng	f a_X_4 N
phằng	f a_X_1 N
phẳng	f a_X_2 N
phẵng	f a_X_3 N
phặng	f a_X_5 N
phẹng	f E_5 N
phẻng	f E_2 N
phẽng	f E_3 N
phọng	f O_5 Nm 
phỏng	f O_2 Nm 
phống	f o_4 Nm 
phồng	f o_1 Nm 
phổng	f o_2 Nm 
phỗng	f o_3 Nm 
phộng	f o_5 Nm 
phụng	f u_5 Nm 
phủng	f u_2 Nm 
phứng	f M_4 N
phừng	f M_1 N
phửng	f M_2 N
phững	f M_3 N
phựng	f M_5 N
phĩnh	f i_3 N_+ 
phạnh	f a_5 N_+ 
phảnh	f a_2 N_+ 
phếnh	f e_4 N_+ 
phềnh	f e_1 N_+ 
phểnh	f e_2 N_+ 
phễnh	f e_3 N_+ 
phệnh	f e_5 N_+ 
phỉnh	f i_2 N_+ 
phịnh	f i_5 N_+ 
phạo	f a_5 O
phảo	f a_2 O
phẹo	f E_5 O
phẻo	f E_2 O
phẽo	f E_3 O
phạp	f a_5 p
phấp	f 7_X_4 p
phập	f 7_X_5 p
phắp	f a_X_4 p
phặp	f a_X_5 p
phẹp	f E_5 p
phếp	f e_4 p
phệp	f e_5 p
phịp	f i_5 p
phọp	f O_5 p
phốp	f o_4 p
phộp	f o_5 p
phớp	f 7_4 p
phợp	f 7_5 p
phụp	f u_5 p
phạt	f a_5 t
phất	f 7_X_4 t
phật	f 7_X_5 t
phắt	f a_X_4 t
phặt	f a_X_5 t
phẹt	f E_5 t
phết	f e_4 t
phệt	f e_5 t
phịt	f i_5 t
phọt	f O_5 t
phốt	f o_4 t
phột	f o_5 t
phớt	f 7_4 t
phợt	f 7_5 t
phụt	f u_5 t
phứt	f M_4 t
phựt	f M_5 t
phĩu	f i_3 u
phưu	f M_0 u
phạu	f a_X_5 u 
phảu	f a_X_2 u 
phấu	f 7_X_4 u
phầu	f 7_X_1 u
phẩu	f 7_X_2 u
phẫu	f 7_X_3 u
phậu	f 7_X_5 u
phếu	f e_4 u
phều	f e_1 u
phểu	f e_2 u
phễu	f e_3 u
phệu	f e_5 u
phỉu	f i_2 u
phịu	f i_5 u
phứu	f M_4 u
phừu	f M_1 u
phửu	f M_2 u
phữu	f M_3 u
phựu	f M_5 u
phạy	f a_X_5 i 
phảy	f a_X_2 i 
phấy	f 7_X_4 i
phầy	f 7_X_1 i
phẩy	f 7_X_2 i
phẫy	f 7_X_3 i
phậy	f 7_X_5 i
phước	f M@_4 k
phược	f M@_5 k
phươi	f M@_0 i
phưới	f M@_4 i
phười	f M@_1 i
phưởi	f M@_2 i
phưỡi	f M@_3 i
phượi	f M@_5 i
phươm	f M@_0 m
phướm	f M@_4 m
phườm	f M@_1 m
phưởm	f M@_2 m
phưỡm	f M@_3 m
phượm	f M@_5 m
phươn	f M@_0 n
phướn	f M@_4 n
phườn	f M@_1 n
phưởn	f M@_2 n
phưỡn	f M@_3 n
phượn	f M@_5 n
phương	f M@_0 N
phướng	f M@_4 N
phường	f M@_1 N
phưởng	f M@_2 N
phưỡng	f M@_3 N
phượng	f M@_5 N
phướp	f M@_4 p
phượp	f M@_5 p
phướt	f M@_4 t
phượt	f M@_5 t
phươu	f M@_0 u
phướu	f M@_4 u
phườu	f M@_1 u
phưởu	f M@_2 u
phưỡu	f M@_3 u
phượu	f M@_5 u
pi	p i_0
pia	p i@_0
pim	p i_0 m
pin	p i_0 n
pinh	p i_0 N_+ 
piu	p i_0 u
piêm	p i@_0 m
piên	p i@_0 n
piêng	p i@_0 N
piêu	p i@_0 u
piếc	p i@_4 k
piệc	p i@_5 k
piếm	p i@_4 m
piềm	p i@_1 m
piểm	p i@_2 m
piễm	p i@_3 m
piệm	p i@_5 m
piến	p i@_4 n
piền	p i@_1 n
piển	p i@_2 n
piễn	p i@_3 n
piện	p i@_5 n
piếng	p i@_4 N
piềng	p i@_1 N
piểng	p i@_2 N
piễng	p i@_3 N
piệng	p i@_5 N
piếp	p i@_4 p
piệp	p i@_5 p
piết	p i@_4 t
piệt	p i@_5 t
piếu	p i@_4 u
piều	p i@_1 u
piểu	p i@_2 u
piễu	p i@_3 u
piệu	p i@_5 u
po	p O_0
poa	p w a_0
poai	p w a_0 i
poam	p w a_0 m
poan	p w a_0 n
poang	p w a_0 N
poanh	p w a_0 N_+ 
poao	p w a_0 O
poay	p w a_X_0 i 
poe	p w E_0
poem	p w E_0 m
poen	p w E_0 n
poeo	p w E_0 O
poi	p O_0 i
pom	p O_0 m
pon	p O_0 n
pong	p O_0 Nm 
poong	p O_0 N
poà	p w a_1
poài	p w a_1 i
poàm	p w a_1 m
poàn	p w a_1 n
poàng	p w a_1 N
poành	p w a_1 N_+ 
poào	p w a_1 O
poày	p w a_X_1 i 
poá	p w a_4
poác	p w a_4 k
poách	p w a_4 k_+ 
poái	p w a_4 i
poám	p w a_4 m
poán	p w a_4 n
poáng	p w a_4 N
poánh	p w a_4 N_+ 
poáo	p w a_4 O
poáp	p w a_4 p
poát	p w a_4 t
poáy	p w a_X_4 i 
poã	p w a_3
poãi	p w a_3 i
poãm	p w a_3 m
poãn	p w a_3 n
poãng	p w a_3 N
poãnh	p w a_3 N_+ 
poão	p w a_3 O
poãy	p w a_X_3 i 
poè	p w E_1
poèm	p w E_1 m
poèn	p w E_1 n
poèo	p w E_1 O
poé	p w E_4
poém	p w E_4 m
poén	p w E_4 n
poéo	p w E_4 O
poét	p w E_4 t
poòng	p O O_1 N
poóc	p O O_4 k
poóng	p O O_4 N
poõng	p O O_3 N
poạ	p w a_5
poả	p w a_2
poẹ	p w E_5
poẻ	p w E_2
poẽ	p w E_3
poạc	p w a_5 k
poắc	p w a_X_4 k
poặc	p w a_X_5 k
poọc	p O O_5 k
poạch	p w a_5 k_+ 
poại	p w a_5 i
poải	p w a_2 i
poăm	p w a_X_0 m
poạm	p w a_5 m
poảm	p w a_2 m
poắm	p w a_X_4 m
poằm	p w a_X_1 m
poẳm	p w a_X_2 m
poẵm	p w a_X_3 m
poặm	p w a_X_5 m
poẹm	p w E_5 m
poẻm	p w E_2 m
poẽm	p w E_3 m
poăn	p w a_X_0 n
poạn	p w a_5 n
poản	p w a_2 n
poắn	p w a_X_4 n
poằn	p w a_X_1 n
poẳn	p w a_X_2 n
poẵn	p w a_X_3 n
poặn	p w a_X_5 n
poẹn	p w E_5 n
poẻn	p w E_2 n
poẽn	p w E_3 n
poăng	p w a_X_0 N
poạng	p w a_5 N
poảng	p w a_2 N
poắng	p w a_X_4 N
poằng	p w a_X_1 N
poẳng	p w a_X_2 N
poẵng	p w a_X_3 N
poặng	p w a_X_5 N
poọng	p O O_5 N
poỏng	p O O_2 N
poạnh	p w a_5 N_+ 
poảnh	p w a_2 N_+ 
poạo	p w a_5 O
poảo	p w a_2 O
poẹo	p w E_5 O
poẻo	p w E_2 O
poẽo	p w E_3 O
poạp	p w a_5 p
poạt	p w a_5 t
poắt	p w a_X_4 t
poặt	p w a_X_5 t
poẹt	p w E_5 t
poạy	p w a_X_5 i 
poảy	p w a_X_2 i 
pu	p u_0
pua	p u@_0
pui	p u_0 i
pum	p u_0 m
pun	p u_0 n
pung	p u_0 Nm 
puy	p w i_0
puya	p w i@_0
puyn	p w i_0 n
puynh	p w i_0 J
puyu	p w i_0 u
puyên	p w i@_0 n
puyến	p w i@_4 n
puyền	p w i@_1 n
puyển	p w i@_2 n
puyễn	p w i@_3 n
puyện	p w i@_5 n
puyết	p w i@_4 t
puyệt	p w i@_5 t
puân	p u 7_X_0 n
puâng	p u 7_X_0 N
puây	p u 7_X_0 i_0
puê	p w e_0
puênh	p w e_0 N_+ 
puôi	p u@_0 i
puôm	p u@_0 m
puôn	p u@_0 n
puông	p u@_0 N
puý	p w i_4
puýa	p w i@_4
puých	p w i_4 k
puýn	p w i_4 n
puýnh	p w i_4 J
puýp	p w i_4 p
puýt	p w i_4 t
puýu	p w i_4 u
puơ	p u_0 7
puế	p w e_4
puề	p w e_1
puể	p w e_2
puễ	p w e_3
puệ	p w e_5
puớ	p u 7_4
puờ	p u 7_1
puở	p u 7_2
puỡ	p u 7_3
puợ	p u 7_5
puỳ	p w i_1
puỵ	p w i_5
puỷ	p w i_2
puỹ	p w i_3
puỳa	p w i@_1
puỵa	p w i@_5
puỷa	p w i@_2
puỹa	p w i@_3
puốc	p u@_4 k
puộc	p u@_5 k
puếch	p w e_4 k_+ 
puệch	p w e_5 k_+ 
puỵch	p w i_5 k
puối	p u@_4 i
puồi	p u@_1 i
puổi	p u@_2 i
puỗi	p u@_3 i
puội	p u@_5 i
puốm	p u@_4 m
puồm	p u@_1 m
puổm	p u@_2 m
puỗm	p u@_3 m
puộm	p u@_5 m
puấn	p u 7_X_4 n
puần	p u 7_X_1 n
puẩn	p u 7_X_2 n
puẫn	p u 7_X_3 n
puận	p u 7_X_5 n
puốn	p u@_4 n
puồn	p u@_1 n
puổn	p u@_2 n
puỗn	p u@_3 n
puộn	p u@_5 n
puỳn	p w i_1 n
puỵn	p w i_5 n
puỷn	p w i_2 n
puỹn	p w i_3 n
puấng	p u 7_X_4 N
puầng	p u 7_X_1 N
puẩng	p u 7_X_2 N
puẫng	p u 7_X_3 N
puậng	p u 7_X_5 N
puống	p u@_4 N
puồng	p u@_1 N
puổng	p u@_2 N
puỗng	p u@_3 N
puộng	p u@_5 N
puếnh	p w e_4 N_+ 
puềnh	p w e_1 N_+ 
puểnh	p w e_2 N_+ 
puễnh	p w e_3 N_+ 
puệnh	p w e_5 N_+ 
puỳnh	p w i_1 J
puỵnh	p w i_5 J
puỷnh	p w i_2 J
puỹnh	p w i_3 J
puốp	p u@_4 p
puộp	p u@_5 p
puỵp	p w i_5 p
puất	p u 7_X_4 t
puật	p u 7_X_5 t
puốt	p u@_4 t
puột	p u@_5 t
puỵt	p w i_5 t
puỳu	p w i_1 u
puỵu	p w i_5 u
puỷu	p w i_2 u
puỹu	p w i_3 u
puấy	p u 7_X_4 i
puầy	p u 7_X_1 i
puẩy	p u 7_X_2 i
puẫy	p u 7_X_3 i
puậy	p u 7_X_5 i
py	p i_0
pà	p a_1
pài	p a_1 i
pàm	p a_1 m
pàn	p a_1 n
pàng	p a_1 N
pành	p a_1 N_+ 
pào	p a_1 O
pàu	p a_X_1 u 
pày	p a_X_1 i 
pá	p a_4
pác	p a_4 k
pách	p a_4 k_+ 
pái	p a_4 i
pám	p a_4 m
pán	p a_4 n
páng	p a_4 N
pánh	p a_4 N_+ 
páo	p a_4 O
páp	p a_4 p
pát	p a_4 t
páu	p a_X_4 u 
páy	p a_X_4 i 
pâm	p 7_X_0 m
pân	p 7_X_0 n
pâng	p 7_X_0 N
pâu	p 7_X_0 u
pây	p 7_X_0 i
pã	p a_3
pãi	p a_3 i
pãm	p a_3 m
pãn	p a_3 n
pãng	p a_3 N
pãnh	p a_3 N_+ 
pão	p a_3 O
pãu	p a_X_3 u 
pãy	p a_X_3 i 
pè	p E_1
pèm	p E_1 m
pèn	p E_1 n
pèng	p E_1 N
pèo	p E_1 O
pé	p E_4
péc	p E_4 k
pém	p E_4 m
pén	p E_4 n
péng	p E_4 N
péo	p E_4 O
pép	p E_4 p
pét	p E_4 t
pê	p e_0
pêm	p e_0 m
pên	p e_0 n
pênh	p e_0 N_+ 
pêu	p e_0 u
pì	p i_1
pìa	p i@_1
pìm	p i_1 m
pìn	p i_1 n
pình	p i_1 N_+ 
pìu	p i_1 u
pí	p i_4
pía	p i@_4
pích	p i_4 k_+ 
pím	p i_4 m
pín	p i_4 n
pính	p i_4 N_+ 
píp	p i_4 p
pít	p i_4 t
píu	p i_4 u
pò	p O_1
pòi	p O_1 i
pòm	p O_1 m
pòn	p O_1 n
pòng	p O_1 Nm 
pó	p O_4
póc	p kp_4 kp 
pói	p O_4 i
póm	p O_4 m
pón	p O_4 n
póng	p O_X_4 Nm 
póp	p O_4 p
pót	p O_4 t
pô	p o_0
pôi	p o_0 i
pôm	p o_0 m
pôn	p o_0 n
pông	p o_0 Nm 
põ	p O_3
põi	p O_3 i
põm	p O_3 m
põn	p O_3 n
põng	p O_3 Nm 
pù	p u_1
pùa	p u@_1
pùi	p u_1 i
pùm	p u_1 m
pùn	p u_1 n
pùng	p u_1 Nm 
pú	p u_4
púa	p u@_4
púc	p u_4 kp 
púi	p u_4 i
púm	p u_4 m
pún	p u_4 n
púng	p u_4 Nm 
púp	p u_4 p
pút	p u_4 t
pý	p i_4
pĩ	p i_3
pũ	p u_3
pơ	p 7_0
pư	p M_0
pạ	p a_5
pả	p a_2
pẹ	p E_5
pẻ	p E_2
pẽ	p E_3
pế	p e_4
pề	p e_1
pể	p e_2
pễ	p e_3
pệ	p e_5
pỉ	p i_2
pị	p i_5
pọ	p O_5
pỏ	p O_2
pố	p o_4
pồ	p o_1
pổ	p o_2
pỗ	p o_3
pộ	p o_5
pớ	p 7_4
pờ	p 7_1
pở	p 7_2
pỡ	p 7_3
pợ	p 7_5
pụ	p u_5
pủ	p u_2
pứ	p M_4
pừ	p M_1
pử	p M_2
pữ	p M_3
pự	p M_5
pỳ	p i_1
pỵ	p i_5
pỷ	p i_2
pỹ	p i_3
pĩa	p i@_3
pũa	p u@_3
pưa	p M@_0
pỉa	p i@_2
pịa	p i@_5
pụa	p u@_5
pủa	p u@_2
pứa	p M@_4
pừa	p M@_1
pửa	p M@_2
pữa	p M@_3
pựa	p M@_5
pạc	p a_5 k
pấc	p 7_X_4 k
pậc	p 7_X_5 k
pắc	p a_X_4 k
pặc	p a_X_5 k
pẹc	p E_5 k
pọc	p kp_5 kp 
pốc	p o_4 kp 
pộc	p o_5 kp 
pục	p u_5 kp 
pức	p M_4 k
pực	p M_5 k
pạch	p a_5 k_+ 
pếch	p e_4 k_+ 
pệch	p e_5 k_+ 
pịch	p i_5 k_+ 
pũi	p u_3 i
pơi	p 7_0 i
pưi	p M_0 i
pại	p a_5 i
pải	p a_2 i
pọi	p O_5 i
pỏi	p O_2 i
pối	p o_4 i
pồi	p o_1 i
pổi	p o_2 i
pỗi	p o_3 i
pội	p o_5 i
pới	p 7_4 i
pời	p 7_1 i
pởi	p 7_2 i
pỡi	p 7_3 i
pợi	p 7_5 i
pụi	p u_5 i
pủi	p u_2 i
pứi	p M_4 i
pừi	p M_1 i
pửi	p M_2 i
pữi	p M_3 i
pựi	p M_5 i
păm	p a_X_0 m
pĩm	p i_3 m
pũm	p u_3 m
pơm	p 7_0 m
pưm	p M_0 m
pạm	p a_5 m
pảm	p a_2 m
pấm	p 7_X_4 m
pầm	p 7_X_1 m
pẩm	p 7_X_2 m
pẫm	p 7_X_3 m
pậm	p 7_X_5 m
pắm	p a_X_4 m
pằm	p a_X_1 m
pẳm	p a_X_2 m
pẵm	p a_X_3 m
pặm	p a_X_5 m
pẹm	p E_5 m
pẻm	p E_2 m
pẽm	p E_3 m
pếm	p e_4 m
pềm	p e_1 m
pểm	p e_2 m
pễm	p e_3 m
pệm	p e_5 m
pỉm	p i_2 m
pịm	p i_5 m
pọm	p O_5 m
pỏm	p O_2 m
pốm	p o_4 m
pồm	p o_1 m
pổm	p o_2 m
pỗm	p o_3 m
pộm	p o_5 m
pớm	p 7_4 m
pờm	p 7_1 m
pởm	p 7_2 m
pỡm	p 7_3 m
pợm	p 7_5 m
pụm	p u_5 m
pủm	p u_2 m
pứm	p M_4 m
pừm	p M_1 m
pửm	p M_2 m
pữm	p M_3 m
pựm	p M_5 m
păn	p a_X_0 n
